pokemon,tm_number,move_name
Ekans,42,Giga Drain
Ekans,45,Knock Off
Ekans,46,Mud Shot
Ekans,53,Sludge Bomb
Ekans,69,Earthquake
Ekans,77,Poison Jab
Ekans,78,Bulldoze
Ekans,85,Substitute
Ekans,87,Iron Tail
Ekans,90,Dark Pulse
Ekans,100,Gunk Shot
Ekans,109,Facade
Ekans,112,Acid Spray
Ekans,115,Trailblaze
Ekans,123,Poison Fang
Ekans,124,Psychic Fangs
Ekans,128,Seed Bomb
Ekans,143,Scale Shot
Arbok,7,Toxic
Arbok,12,Rock Slide
Arbok,14,Fire Fang
Arbok,15,Ice Fang
Arbok,17,Protect
Arbok,21,Thunder Fang
Arbok,25,Crunch
Arbok,28,Dig
Arbok,33,Body Slam
Arbok,35,Endure
Arbok,36,Rock Tomb
Arbok,42,Giga Drain
Arbok,44,Hyper Beam
Arbok,45,Knock Off
Arbok,46,Mud Shot
Arbok,53,Sludge Bomb
Arbok,55,Giga Impact
Arbok,56,Double-Edge
Arbok,69,Earthquake
Arbok,77,Poison Jab
Arbok,78,Bulldoze
Arbok,85,Substitute
Arbok,87,Iron Tail
Arbok,90,Dark Pulse
Arbok,100,Gunk Shot
Arbok,109,Facade
Arbok,112,Acid Spray
Arbok,115,Trailblaze
Arbok,123,Poison Fang
Arbok,124,Psychic Fangs
Arbok,128,Seed Bomb
Arbok,143,Scale Shot
Pikachu,8,Thunder Wave
Pikachu,10,Brick Break
Pikachu,16,Light Screen
Pikachu,17,Protect
Pikachu,20,Play Rough
Pikachu,23,Thunder Punch
Pikachu,27,Swift
Pikachu,28,Dig
Pikachu,31,Reflect
Pikachu,32,Double Team
Pikachu,33,Body Slam
Pikachu,35,Endure
Pikachu,39,Discharge
Pikachu,47,Agility
Pikachu,66,Volt Switch
Pikachu,67,Thunderbolt
Pikachu,73,Surf
Pikachu,83,Nasty Plot
Pikachu,85,Substitute
Pikachu,86,Wild Charge
Pikachu,87,Iron Tail
Pikachu,101,Electroweb
Pikachu,106,Thunder
Pikachu,109,Facade
Pikachu,115,Trailblaze
Pikachu,130,Charge Beam
Pikachu,141,Fake Out
Pikachu,146,Skull Bash
Raichu,8,Thunder Wave
Raichu,10,Brick Break
Raichu,16,Light Screen
Raichu,17,Protect
Raichu,20,Play Rough
Raichu,23,Thunder Punch
Raichu,27,Swift
Raichu,28,Dig
Raichu,31,Reflect
Raichu,32,Double Team
Raichu,33,Body Slam
Raichu,35,Endure
Raichu,39,Discharge
Raichu,44,Hyper Beam
Raichu,47,Agility
Raichu,55,Giga Impact
Raichu,66,Volt Switch
Raichu,67,Thunderbolt
Raichu,73,Surf
Raichu,83,Nasty Plot
Raichu,85,Substitute
Raichu,86,Wild Charge
Raichu,87,Iron Tail
Raichu,92,Dazzling Gleam
Raichu,101,Electroweb
Raichu,102,Focus Blast
Raichu,106,Thunder
Raichu,109,Facade
Raichu,115,Trailblaze
Raichu,126,Magnet Bomb
Raichu,130,Charge Beam
Raichu,131,Drain Punch
Raichu,141,Fake Out
Raichu,146,Skull Bash
Sandshrew,1,Take Down
Sandshrew,4,Agility
Sandshrew,5,Mud-Slap
Sandshrew,7,Protect
Sandshrew,12,Low Kick
Sandshrew,18,Thief
Sandshrew,25,Facade
Sandshrew,27,Aerial Ace
Sandshrew,28,Bulldoze
Sandshrew,31,Metal Claw
Sandshrew,32,Swift
Sandshrew,35,Mud Shot
Sandshrew,36,Rock Tomb
Sandshrew,43,Fling
Sandshrew,47,Endure
Sandshrew,49,Sunny Day
Sandshrew,51,Sandstorm
Sandshrew,55,Dig
Sandshrew,57,False Swipe
Sandshrew,58,Brick Break
Sandshrew,61,Shadow Claw
Sandshrew,66,Body Slam
Sandshrew,70,Sleep Talk
Sandshrew,83,Poison Jab
Sandshrew,84,Stomping Tantrum
Sandshrew,85,Rest
Sandshrew,86,Rock Slide
Sandshrew,88,Swords Dance
Sandshrew,90,Spikes
Sandshrew,95,Leech Life
Sandshrew,103,Substitute
Sandshrew,105,X-Scissor
Sandshrew,116,Stealth Rock
Sandshrew,128,Amnesia
Sandshrew,133,Earth Power
Sandshrew,149,Earthquake
Sandshrew,150,Stone Edge
Sandshrew,171,Tera Blast
Sandshrew,176,Sand Tomb
Sandshrew,179,Smack Down
Sandshrew,180,Gyro Ball
Sandshrew,181,Knock Off
Sandshrew,183,Super Fang
Sandshrew,186,High Horsepower
Sandshrew,192,Focus Punch
Sandshrew,204,Double-Edge
Sandshrew,205,Endeavor
Sandshrew,215,Scorching Sands
Sandshrew,221,Throat Chop
Sandshrew,224,Curse
Sandslash,1,Take Down
Sandslash,4,Agility
Sandslash,5,Mud-Slap
Sandslash,7,Protect
Sandslash,12,Low Kick
Sandslash,18,Thief
Sandslash,25,Facade
Sandslash,27,Aerial Ace
Sandslash,28,Bulldoze
Sandslash,31,Metal Claw
Sandslash,32,Swift
Sandslash,35,Mud Shot
Sandslash,36,Rock Tomb
Sandslash,43,Fling
Sandslash,47,Endure
Sandslash,49,Sunny Day
Sandslash,51,Sandstorm
Sandslash,55,Dig
Sandslash,57,False Swipe
Sandslash,58,Brick Break
Sandslash,61,Shadow Claw
Sandslash,66,Body Slam
Sandslash,70,Sleep Talk
Sandslash,83,Poison Jab
Sandslash,84,Stomping Tantrum
Sandslash,85,Rest
Sandslash,86,Rock Slide
Sandslash,88,Swords Dance
Sandslash,90,Spikes
Sandslash,95,Leech Life
Sandslash,102,Gunk Shot
Sandslash,103,Substitute
Sandslash,105,X-Scissor
Sandslash,106,Drill Run
Sandslash,116,Stealth Rock
Sandslash,128,Amnesia
Sandslash,133,Earth Power
Sandslash,149,Earthquake
Sandslash,150,Stone Edge
Sandslash,152,Giga Impact
Sandslash,158,Focus Blast
Sandslash,163,Hyper Beam
Sandslash,171,Tera Blast
Sandslash,176,Sand Tomb
Sandslash,179,Smack Down
Sandslash,180,Gyro Ball
Sandslash,181,Knock Off
Sandslash,183,Super Fang
Sandslash,186,High Horsepower
Sandslash,192,Focus Punch
Sandslash,204,Double-Edge
Sandslash,205,Endeavor
Sandslash,215,Scorching Sands
Sandslash,221,Throat Chop
Sandslash,224,Curse
Nidorina,3,Water Pulse
Nidorina,6,Toxic
Nidorina,11,Sunny Day
Nidorina,13,Ice Beam
Nidorina,14,Blizzard
Nidorina,17,Protect
Nidorina,18,Rain Dance
Nidorina,23,Iron Tail
Nidorina,24,Thunderbolt
Nidorina,25,Thunder
Nidorina,28,Dig
Nidorina,32,Double Team
Nidorina,34,Shock Wave
Nidorina,36,Sludge Bomb
Nidorina,40,Aerial Ace
Nidorina,42,Facade
Nidorina,44,Rest
Nidorina,45,Attract
Nidorina,46,Thief
Nidorina,58,Endure
Nidorina,65,Shadow Claw
Nidorina,82,Sleep Talk
Nidorina,84,Poison Jab
Nidorina,87,Swagger
Nidorina,90,Substitute
Nidorina,93,Cut
Nidorina,96,Strength
Nidorina,98,Rock Smash
Nidoqueen,1,Focus Punch
Nidoqueen,3,Water Pulse
Nidoqueen,5,Roar
Nidoqueen,6,Toxic
Nidoqueen,11,Sunny Day
Nidoqueen,12,Taunt
Nidoqueen,13,Ice Beam
Nidoqueen,14,Blizzard
Nidoqueen,15,Hyper Beam
Nidoqueen,17,Protect
Nidoqueen,18,Rain Dance
Nidoqueen,23,Iron Tail
Nidoqueen,24,Thunderbolt
Nidoqueen,25,Thunder
Nidoqueen,26,Earthquake
Nidoqueen,28,Dig
Nidoqueen,30,Shadow Ball
Nidoqueen,31,Brick Break
Nidoqueen,32,Double Team
Nidoqueen,34,Shock Wave
Nidoqueen,35,Flamethrower
Nidoqueen,36,Sludge Bomb
Nidoqueen,37,Sandstorm
Nidoqueen,38,Fire Blast
Nidoqueen,39,Rock Tomb
Nidoqueen,40,Aerial Ace
Nidoqueen,41,Torment
Nidoqueen,42,Facade
Nidoqueen,44,Rest
Nidoqueen,45,Attract
Nidoqueen,46,Thief
Nidoqueen,52,Focus Blast
Nidoqueen,56,Fling
Nidoqueen,58,Endure
Nidoqueen,59,Dragon Pulse
Nidoqueen,65,Shadow Claw
Nidoqueen,68,Giga Impact
Nidoqueen,71,Stone Edge
Nidoqueen,72,Avalanche
Nidoqueen,76,Stealth Rock
Nidoqueen,80,Rock Slide
Nidoqueen,82,Sleep Talk
Nidoqueen,83,Bulldoze
Nidoqueen,84,Poison Jab
Nidoqueen,87,Swagger
Nidoqueen,90,Substitute
Nidoqueen,93,Cut
Nidoqueen,95,Surf
Nidoqueen,96,Strength
Nidoqueen,98,Rock Smash
Nidoqueen,100,Rock Climb
Nidorino,3,Water Pulse
Nidorino,6,Toxic
Nidorino,11,Sunny Day
Nidorino,13,Ice Beam
Nidorino,14,Blizzard
Nidorino,17,Protect
Nidorino,18,Rain Dance
Nidorino,23,Iron Tail
Nidorino,24,Thunderbolt
Nidorino,25,Thunder
Nidorino,28,Dig
Nidorino,32,Double Team
Nidorino,34,Shock Wave
Nidorino,36,Sludge Bomb
Nidorino,42,Facade
Nidorino,44,Rest
Nidorino,45,Attract
Nidorino,46,Thief
Nidorino,58,Endure
Nidorino,65,Shadow Claw
Nidorino,82,Sleep Talk
Nidorino,84,Poison Jab
Nidorino,87,Swagger
Nidorino,90,Substitute
Nidorino,93,Cut
Nidorino,96,Strength
Nidorino,98,Rock Smash
Nidoking,1,Focus Punch
Nidoking,3,Water Pulse
Nidoking,5,Roar
Nidoking,6,Toxic
Nidoking,11,Sunny Day
Nidoking,12,Taunt
Nidoking,13,Ice Beam
Nidoking,14,Blizzard
Nidoking,15,Hyper Beam
Nidoking,17,Protect
Nidoking,18,Rain Dance
Nidoking,23,Iron Tail
Nidoking,24,Thunderbolt
Nidoking,25,Thunder
Nidoking,26,Earthquake
Nidoking,28,Dig
Nidoking,30,Shadow Ball
Nidoking,31,Brick Break
Nidoking,32,Double Team
Nidoking,34,Shock Wave
Nidoking,35,Flamethrower
Nidoking,36,Sludge Bomb
Nidoking,37,Sandstorm
Nidoking,38,Fire Blast
Nidoking,39,Rock Tomb
Nidoking,41,Torment
Nidoking,42,Facade
Nidoking,44,Rest
Nidoking,45,Attract
Nidoking,46,Thief
Nidoking,52,Focus Blast
Nidoking,56,Fling
Nidoking,58,Endure
Nidoking,59,Dragon Pulse
Nidoking,65,Shadow Claw
Nidoking,68,Giga Impact
Nidoking,71,Stone Edge
Nidoking,72,Avalanche
Nidoking,76,Stealth Rock
Nidoking,80,Rock Slide
Nidoking,82,Sleep Talk
Nidoking,83,Bulldoze
Nidoking,84,Poison Jab
Nidoking,87,Swagger
Nidoking,90,Substitute
Nidoking,93,Cut
Nidoking,95,Surf
Nidoking,96,Strength
Nidoking,98,Rock Smash
Nidoking,100,Rock Climb
Clefairy,1,Headbutt
Clefairy,3,Psyshock
Clefairy,6,Calm Mind
Clefairy,8,Thunder Wave
Clefairy,13,Ice Beam
Clefairy,16,Light Screen
Clefairy,17,Protect
Clefairy,20,Play Rough
Clefairy,23,Thunder Punch
Clefairy,24,Ice Punch
Clefairy,27,Swift
Clefairy,28,Dig
Clefairy,29,Fire Punch
Clefairy,31,Reflect
Clefairy,33,Body Slam
Clefairy,35,Endure
Clefairy,37,Stealth Rock
Clefairy,38,Fire Blast
Clefairy,51,Safeguard
Clefairy,56,Double-Edge
Clefairy,59,Zen Headbutt
Clefairy,62,Flamethrower
Clefairy,63,Psychic
Clefairy,64,Solar Beam
Clefairy,67,Thunderbolt
Clefairy,71,Hyper Voice
Clefairy,74,Shadow Ball
Clefairy,85,Substitute
Clefairy,87,Iron Tail
Clefairy,92,Dazzling Gleam
Clefairy,97,Heal Block
Clefairy,99,Metronome
Clefairy,103,Work Up
Clefairy,105,Blizzard
Clefairy,106,Thunder
Clefairy,109,Facade
Clefairy,110,Chilling Water
Clefairy,111,Sing
Clefairy,127,Dream Eater
Clefairy,130,Charge Beam
Clefairy,131,Drain Punch
Clefairy,134,Dual Wingbeat
Clefairy,147,Tri Attack
Clefairy,156,Meteor Beam
Clefable,1,Headbutt
Clefable,3,Psyshock
Clefable,6,Calm Mind
Clefable,8,Thunder Wave
Clefable,13,Ice Beam
Clefable,16,Light Screen
Clefable,17,Protect
Clefable,20,Play Rough
Clefable,23,Thunder Punch
Clefable,24,Ice Punch
Clefable,27,Swift
Clefable,28,Dig
Clefable,29,Fire Punch
Clefable,31,Reflect
Clefable,33,Body Slam
Clefable,35,Endure
Clefable,37,Stealth Rock
Clefable,38,Fire Blast
Clefable,44,Hyper Beam
Clefable,51,Safeguard
Clefable,55,Giga Impact
Clefable,56,Double-Edge
Clefable,59,Zen Headbutt
Clefable,62,Flamethrower
Clefable,63,Psychic
Clefable,64,Solar Beam
Clefable,67,Thunderbolt
Clefable,71,Hyper Voice
Clefable,74,Shadow Ball
Clefable,85,Substitute
Clefable,87,Iron Tail
Clefable,92,Dazzling Gleam
Clefable,97,Heal Block
Clefable,99,Metronome
Clefable,102,Focus Blast
Clefable,103,Work Up
Clefable,105,Blizzard
Clefable,106,Thunder
Clefable,109,Facade
Clefable,110,Chilling Water
Clefable,111,Sing
Clefable,127,Dream Eater
Clefable,130,Charge Beam
